id,issues,label
112,Requests for a clear career development plan or feedback on performance have been ignored by the management.,1
113,The management's unresponsiveness to employee suggestions for process improvements is hindering efficiency and innovation.,1
114,"Despite expressing concerns about a lack of opportunities for skill development, there has been no response from management.",1
115,Attempts to communicate the need for a more effective performance appraisal system have been met with indifference from management.,1
116,Employees are frustrated by the lack of response from management regarding the implementation of a fair compensation structure.,1
117,Concerns raised about the lack of recognition for accomplishments have been ignored by management.,1
118,The lack of acknowledgment or response from management regarding feedback on employee training programs is disheartening.,1
119,The unresponsiveness of management to concerns about the negative impact of micromanagement is affecting team morale.,1
120,"Despite expressing concerns about the lack of recognition for employees' extra efforts, there has been no response from management.",1
121,Efforts to bring attention to the need for a more efficient communication platform have been disregarded by management.,1
122,Requests for clarification on the company's stance on work flexibility have gone unanswered.,1
123,"Despite raising concerns, there has been no response from management regarding the lack of team-building activities.",1
124,The lack of communication from management about changes in project priorities is causing confusion and inefficiency.,1
125,I have experienced unwelcome advances from a colleague.,1
126,I feel uncomfortable due to inappropriate comments made about my appearance.,1
127,I've encountered unwanted physical contact in the workplace.,1
128,I've overheard inappropriate jokes or conversations with sexual content.,1
129,"A colleague has made persistent, unwanted requests for dates.",1
130,I've received explicit and inappropriate messages or emails from a coworker.,1
131,Unwanted touching or brushing against me has occurred.,1
132,I've witnessed inappropriate comments or behavior directed at others.,1
133,A coworker has made inappropriate remarks about my personal life.,1
134,I feel uncomfortable due to frequent and explicit discussions about intimate matters.,1
135,I've observed inappropriate displays of explicit material in the workplace.,1
136,Unwanted sexual comments have been directed at me.,1
137,I've experienced uncomfortable and unnecessary physical contact.,1
138,A colleague has made inappropriate gestures or facial expressions.,1
139,I feel uncomfortable due to persistent and unwelcome staring or leering.,1
140,I've been subjected to offensive and inappropriate nicknames or comments.,1
141,A coworker has commented on my clothing or appearance in a way that makes me uncomfortable.,1
142,I've encountered unwanted sexual innuendos or suggestive remarks.,1
143,I've witnessed inappropriate touching or comments towards other colleagues.,1
144,I feel uncomfortable due to unsolicited comments about my personal relationships.,1
145,A colleague has invaded my personal space in a way that feels inappropriate.,1
146,I've been subjected to explicit comments about my body.,1
147,I've received unwanted gifts or messages with a sexual undertone.,1
148,I feel uncomfortable due to persistent and unwelcome attention from a coworker.,1
149,I've experienced inappropriate advances during work-related events.,1
150,A colleague has made inappropriate comments about my gender or sexual orientation.,1
151,I feel uncomfortable due to comments or behavior that create a hostile environment.,1
152,I've witnessed inappropriate behavior at work-related social gatherings.,1
153,I've encountered explicit or offensive materials posted in the workplace.,1
154,A coworker has made inappropriate comments about my personal life choices.,1
155,I feel uncomfortable due to persistent and unwelcome compliments.,1
156,I've been subjected to explicit or inappropriate gestures from a colleague.,1
157,I've experienced inappropriate comments about my physical attributes.,1
158,A colleague has made explicit comments about my clothing or appearance.,1
159,I feel uncomfortable due to persistent and unwanted invitations for social activities.,1
160,I've received explicit and inappropriate messages through company communication channels.,1
161,A coworker has made inappropriate comments about my romantic relationships.,1
162,I've encountered unwanted and inappropriate advances during work-related travel.,1
163,I've witnessed inappropriate behavior during team meetings or discussions.,1
164,I feel uncomfortable due to persistent and unwelcome comments about my personal life.,1
165,I've been subjected to unwelcome physical contact in the form of touching or grabbing.,1
166,A colleague has made inappropriate comments about my body or physique.,1
167,I've experienced offensive and inappropriate comments about my appearance.,1
168,I feel uncomfortable due to inappropriate comments or behavior during team-building activities.,1
169,I've encountered unwanted sexual comments or jokes in the workplace.,1
170,A coworker has made unwelcome comments about my romantic or intimate relationships.,1
171,"I've witnessed inappropriate behavior in shared spaces, such as break rooms or restrooms.",1
172,I feel uncomfortable due to persistent and unwelcome comments about my personal life choices.,1
173,I've experienced unwelcome and inappropriate physical contact during work-related events.,1
174,A colleague has made explicit and inappropriate comments about my private life.,1
175,"There is a noticeable lack of communication from management regarding changes in company policies, creating uncertainty.",1
176,The absence of team-building activities is negatively impacting team cohesion and morale.,1
177,"Employee feedback seems to be overlooked, leading to a sense of disconnection between management and staff.",1
178,The company's failure to address instances of workplace harassment is damaging the work culture.,1
179,The lack of flexibility in work arrangements is hindering employees' work-life balance.,1
180,Management's failure to address interpersonal conflicts is creating a hostile work environment.,1
181,The company's neglect of professional development opportunities is discouraging employee growth.,1
182,The lack of recognition for employees' achievements is affecting motivation and job satisfaction.,1
183,The absence of diversity and inclusion initiatives is contributing to a homogeneous and exclusionary work culture.,1
184,The company's failure to address workload issues is negatively impacting employee stress and burnout.,1
185,"There's a noticeable lack of communication regarding recent changes in project priorities, creating confusion.",1
186,"Decision-making seems to happen in silos, with limited information shared with the affected teams.",1
187,"Employees are left in the dark about the reasons behind recent organizational changes, causing uncertainty.",1
188,"Despite concerns raised, there's a lack of information on the criteria used for recent performance evaluations.",1
189,The absence of clear communication about budget decisions is contributing to speculation and rumors.,1
190,Team members are feeling disconnected due to the lack of information about the company's long-term goals and strategy.,1
191,"Recent decisions seem arbitrary, with little explanation provided to those impacted by the changes.",1
192,The lack of transparency regarding recent promotions is causing frustration and demotivation among employees.,1
193,"Employees are unaware of the decision-making process for project assignments, leading to dissatisfaction.",1
194,"There's a sense of secrecy surrounding recent changes in reporting structures, creating unease among team members.",1
195,The absence of communication about the resolution of reported workplace conflicts is causing distress among team members.,1
196,"There's no clarity on the criteria used for selecting participants in recent training programs, creating confusion.",1
197,Recent decisions seem to be made without considering the input and perspectives of the teams directly affected.,1
198,"Employees are feeling left out of the decision-making loop, with little opportunity for input or feedback.",1
199,The lack of transparency regarding resource allocation decisions is impacting team efficiency and collaboration.,1
200,"Recent changes in project timelines have been communicated poorly, causing disruption and frustration.",1
201,"Employees are unsure about the reasoning behind recent changes in work policies, leading to dissatisfaction.",1
202,"The decision-making process for promotions and salary adjustments is unclear, causing frustration among employees.",1
203,"There's a lack of information on the metrics used for recent performance evaluations, creating uncertainty.",1
204,"Recent decisions regarding project priorities seem arbitrary, with little explanation provided to affected teams.",1
205,The absence of communication about the resolution of reported workplace conflicts is causing distress among team members.,1
206,"There's a noticeable lack of consideration for work-life balance in recent project timelines, leading to increased stress.",1
207,The decision to prioritize tight deadlines over employee well-being is negatively impacting work-life balance.,1
208,The absence of flexibility in work hours is hindering employees' ability to manage personal responsibilities.,1
209,Recent decisions to extend work hours without clear justification are negatively impacting work-life balance.,1
210,The expectation to be constantly available after working hours is contributing to burnout and reduced work-life balance.,1
211,The lack of consideration for personal commitments in scheduling meetings is negatively affecting work-life balance.,1
212,Recent decisions to assign heavy workloads without additional support are negatively impacting work-life balance.,1
213,The absence of clear communication about the reasoning behind increased work hours is causing frustration.,1
214,Expectations to work on weekends without adequate compensation or time off are negatively affecting work-life balance.,1
215,The decision to limit remote work options without clear justification is negatively impacting employees' flexibility.,1
216,The lack of support for employees facing personal challenges is negatively affecting their ability to balance work and life.,1
217,The absence of policies to discourage excessive overtime is contributing to work-life imbalance.,1
218,Recent decisions to cut resources without adjusting project timelines are negatively impacting work-life balance.,1
219,The expectation to respond to non-urgent emails during personal time is contributing to reduced work-life balance.,1
220,The lack of consideration for personal well-being in recent project planning is causing increased stress among team members.,1
221,The decision to ignore employees' personal commitments when assigning work is negatively affecting work-life balance.,1
222,Recent decisions to implement unrealistic deadlines without proper consultation are negatively impacting work-life balance.,1
223,The absence of support for employees experiencing mental health challenges is negatively affecting overall work-life balance.,1
224,The decision to disregard employees' requests for flexible work hours is negatively affecting work-life balance.,1
225,The lack of consideration for the impact of tight project timelines on employees' personal lives is causing dissatisfaction.,1
226,"There's a noticeable fear of retaliation among employees, hindering open communication and reporting of concerns.",1
227,"Instances of past retaliation have created a culture of fear, discouraging employees from reporting issues.",1
228,The lack of clear policies on protecting whistleblowers is contributing to a climate of fear and silence.,1
229,Recent experiences of retaliation against individuals who raised concerns have negatively impacted trust within the organization.,1
230,The absence of visible consequences for those engaging in retaliation is contributing to a lack of confidence in the reporting process.,1
231,The perception that reporting concerns leads to negative consequences is deterring employees from coming forward.,1
232,Recent incidents where individuals who reported concerns faced adverse consequences are causing a loss of trust in the reporting system.,1
233,The fear of retaliation is preventing employees from reporting instances of unethical behavior or misconduct.,1
234,The lack of visible support for individuals who report concerns is reinforcing a culture of silence.,1
235,Instances of managers dismissing concerns without repercussions are contributing to a climate of fear and mistrust.,1
236,The absence of whistleblower protection measures is creating a chilling effect on employees' willingness to report issues.,1
237,"Employees perceive that raising concerns might negatively impact their career progression, leading to a reluctance to report issues.",1
238,The fear of retaliation is deterring employees from utilizing the available reporting channels.,1
239,The lack of communication about actions taken against retaliation is contributing to a perception of impunity.,1
240,Instances where employees who reported concerns faced isolation or exclusion are negatively impacting the reporting culture.,1
241,The perception that raising concerns is futile and leads to negative consequences is hindering a culture of transparency.,1
242,The lack of transparency in the resolution process for reported concerns is contributing to a climate of fear.,1
243,Employees are hesitant to report concerns due to the lack of a clear and well-publicized anti-retaliation policy.,1
244,"The fear of retaliation is causing a reluctance to report concerns, even when employees are aware of potential ethical violations.",1
245,The absence of visible support from leadership for those who report concerns is contributing to a culture of fear.,1
246,"There's a noticeable increase in micromanagement, hindering team members' ability to work efficiently.",1
247,Instances of excessive oversight and scrutiny in daily tasks are negatively impacting team morale.,1
248,The lack of trust in team members' abilities is contributing to a culture of micromanagement.,1
249,Recent experiences of detailed interference in task execution are causing frustration among team members.,1
250,The absence of autonomy in decision-making is hindering creativity and innovation within the team.,1
251,The perception that tasks are closely monitored is leading to a decrease in motivation and job satisfaction.,1
252,The fear of being micromanaged is causing anxiety and stress among team members.,1
253,Recent incidents of managers dictating every step in project execution are causing a loss of trust in team abilities.,1
254,The constant need for approval on minor decisions is slowing down the pace of work.,1
255,The lack of flexibility in work methods is causing dissatisfaction among team members.,1
256,"Employees perceive that their autonomy in decision-making has been significantly reduced, leading to frustration.",1
257,The fear of making mistakes due to micromanagement is causing hesitation and indecision among team members.,1
258,The absence of a clear delegation of responsibilities is contributing to confusion and inefficiency.,1
259,Instances of managers closely monitoring work hours are negatively impacting trust and morale.,1
260,The perception that managers do not trust employees' judgment is causing a decrease in motivation.,1
261,The lack of empowerment in decision-making is hindering the development of leadership skills among team members.,1
262,Employees are feeling restricted in their ability to take initiative and contribute ideas.,1
263,Recent experiences of managers providing overly detailed instructions are causing frustration among team members.,1
264,The absence of a collaborative approach in decision-making is negatively affecting team cohesion.,1
265,The fear of being micromanaged is discouraging proactive problem-solving and creativity.,1
266,The perception that managers closely scrutinize every action is contributing to a decrease in job satisfaction.,1
267,Employees feel disempowered due to the lack of trust in their ability to handle tasks independently.,1
268,"There's a noticeable lack of support for remote employees, hindering their ability to work efficiently.",1
269,Instances of technical issues and a lack of IT support for remote workers are negatively impacting productivity.,1
270,The absence of clear guidelines on expectations for remote work hours is causing confusion among team members.,1
271,Recent experiences of feeling isolated and disconnected from the team are negatively impacting morale.,1
272,The lack of access to essential information and documents needed for work is hindering remote team collaboration.,1
273,The perception that remote work is undervalued compared to in-office work is causing dissatisfaction among team members.,1
274,The fear of being overlooked for opportunities due to remote work is negatively impacting employee motivation.,1
275,Recent incidents of miscommunication and misunderstandings in virtual meetings are causing frustration.,1
276,The absence of a clear remote work policy is contributing to uncertainty and anxiety among remote employees.,1
277,The lack of virtual team-building activities or social events is negatively affecting team cohesion.,1
278,Employees perceive that remote work is leading to longer work hours without proper compensation.,1
279,The lack of flexibility in remote work hours is causing challenges in maintaining work-life balance.,1
280,The fear of being judged for personal interruptions during virtual meetings is causing stress among remote employees.,1
281,The absence of a structured onboarding process for new remote hires is hindering their integration into the team.,1
282,Instances where remote employees feel left out of important discussions or decisions are negatively impacting morale.,1
283,The lack of clear communication about changes in remote work policies is contributing to uncertainty and confusion.,1
284,Employees are facing challenges in accessing necessary equipment or tools for remote work.,1
285,The fear of missing out on career advancement opportunities due to remote work is negatively impacting employee morale.,1
286,The absence of regular check-ins or feedback sessions for remote employees is contributing to a sense of disconnect.,1
287,Employees feel unsupported in addressing ergonomic challenges or health issues related to remote work.,1
288,The lack of transparency in decision-making related to remote work policies is causing frustration among employees.,1
289,Instances of managers showing a lack of understanding of the challenges faced by remote employees are negatively impacting morale.,1
290,"There's a noticeable lack of support for training and resources, hindering employees' ability to excel in their roles.",1
291,Instances of outdated training materials and lack of access to current resources are negatively impacting skill development.,1
292,The absence of clear guidelines on professional development opportunities is causing confusion among team members.,1
293,Recent experiences of being assigned tasks without adequate training are negatively impacting employee confidence.,1
294,The lack of access to essential software and tools needed for work is hindering project progress.,1
295,The perception that professional development is undervalued compared to other priorities is causing dissatisfaction.,1
296,The fear of falling behind in industry trends due to a lack of relevant training is negatively impacting employee morale.,1
297,Recent incidents of being unable to attend relevant workshops or seminars due to resource constraints are causing frustration.,1
298,The absence of a structured training plan for new hires is contributing to a longer learning curve.,1
299,The lack of financial support for employees pursuing additional certifications is negatively impacting their career development.,1
300,"Employees perceive that training opportunities are reserved for a select few, leading to frustration.",1
301,The fear of not having the necessary skills for upcoming projects due to inadequate training is causing anxiety.,1
302,The lack of feedback on the effectiveness of training programs is contributing to a sense of uncertainty.,1
303,Instances of managers dismissing requests for training opportunities without justification are negatively impacting morale.,1
304,The absence of a clear pathway for career advancement through training and skill development is causing dissatisfaction.,1
305,Employees are facing challenges in accessing necessary equipment or tools for their roles.,1
306,The fear of being ill-equipped to handle new responsibilities due to inadequate training is causing stress.,1
307,The lack of transparency in decision-making related to training budgets is causing frustration among employees.,1
308,Instances where employees feel their professional growth is stunted due to a lack of training opportunities are negatively impacting morale.,1
309,The perception that managers are not prioritizing employees' professional development is leading to dissatisfaction.,1
310,Employees feel unsupported in addressing skill gaps or obtaining certifications relevant to their roles.,1
311,"There's a noticeable lack of support for team dynamics, hindering effective collaboration and communication.",1
312,Instances of cliques forming within the team are negatively impacting overall cohesion and collaboration.,1
313,The absence of clear communication channels for sharing ideas and feedback is causing confusion among team members.,1
314,Recent experiences of feeling excluded from important discussions are negatively impacting morale.,1
315,The lack of recognition for team members' contributions is hindering overall motivation.,1
316,The perception that some team members are favored over others is negatively affecting team morale.,1
317,The fear of speaking up due to concerns about judgment or reprisal is causing a lack of open communication within the team.,1
318,Recent incidents of unresolved conflicts within the team are causing tension and impacting overall productivity.,1
319,The absence of team-building activities or social events is negatively affecting team cohesion.,1
320,"Employees perceive that teamwork is undervalued compared to individual achievements, leading to frustration.",1
321,The lack of clarity on team goals and objectives is contributing to a lack of alignment among team members.,1
322,The fear of being blamed for mistakes is causing a lack of accountability within the team.,1
323,Instances of managers favoring certain team members over others are negatively impacting trust and morale.,1
324,The absence of a structured approach to conflict resolution is contributing to ongoing tensions within the team.,1
325,Employees are hesitant to provide constructive feedback for fear of negative repercussions.,1
326,The fear of being excluded from opportunities due to team dynamics is negatively impacting employee motivation.,1
327,Instances of individuals taking credit for team achievements without proper acknowledgment are causing dissatisfaction.,1
328,The lack of diversity in team projects is negatively impacting creativity and innovation.,1
329,The perception that team members are not held accountable for their contributions is causing frustration.,1
330,Employees feel unsupported in addressing interpersonal conflicts or challenging team dynamics.,1
331,The absence of a clear pathway for career advancement within the team is causing dissatisfaction.,1
332,"There's a noticeable lack of support for health and well-being, negatively impacting overall employee wellness.",1
333,Instances of excessive workload without proper breaks are negatively impacting stress levels and overall well-being.,1
334,The absence of mental health resources and support for employees facing challenges is negatively impacting mental well-being.,1
335,Recent experiences of feeling pressured to work long hours are negatively impacting work-life balance and overall health.,1
336,The lack of encouragement for employees to take breaks is negatively impacting both physical and mental well-being.,1
337,The perception that employees are discouraged from taking sick leave when needed is negatively affecting overall health.,1
338,The fear of being judged for taking advantage of well-being resources is causing hesitation among employees.,1
339,Recent incidents of unhealthy snacks being the primary option in the workplace are negatively impacting nutritional well-being.,1
340,The absence of clear communication on the importance of well-being is contributing to a lack of awareness.,1
341,"Employees perceive that well-being initiatives are superficial and not genuinely prioritized, causing frustration.",1
342,The lack of support for flexible work arrangements is negatively impacting work-life balance and overall well-being.,1
343,The fear of being penalized for prioritizing well-being over work demands is causing stress among employees.,1
344,Instances of managers dismissing concerns about workload and well-being without consideration are negatively impacting morale.,1
345,The absence of accessible fitness or recreational facilities is negatively impacting physical well-being.,1
346,The perception that mental health concerns are not taken seriously within the organization is causing distress.,1
347,Instances where employees feel pressured to sacrifice sleep for work commitments are negatively impacting overall health.,1
348,The lack of clear policies on managing stress and burnout is contributing to a sense of helplessness.,1
349,Employees feel unsupported in addressing personal health challenges or chronic conditions.,1
350,The absence of a clear pathway for employees to request accommodations for health-related needs is causing dissatisfaction.,1
351,The fear of being penalized for using well-being resources is causing reluctance among employees to seek support.,1
352,Instances of managers setting unrealistic expectations without regard for well-being are negatively impacting overall health.,1
353,"There's a noticeable lack of awareness and sensitivity toward body shaming, negatively impacting employee morale and well-being.",1
354,Instances of derogatory comments or jokes about body appearance are negatively affecting individuals' self-esteem and mental health.,1
355,The absence of clear policies on addressing body shaming behaviors is contributing to a culture of disrespect and exclusion.,1
356,Recent experiences of feeling judged or ridiculed based on body appearance are negatively impacting employee confidence and productivity.,1
357,The lack of intervention in instances of body shaming is perpetuating a toxic work environment.,1
358,The perception that certain body types are favored over others is causing resentment and division among employees.,1
359,The fear of being targeted for body shaming is causing stress and anxiety among employees.,1
360,Recent incidents of body shaming comments going unaddressed by management are causing frustration and distrust.,1
361,The absence of training on recognizing and addressing body shaming behaviors is contributing to a lack of accountability.,1
362,"Employees perceive that management does not take complaints about body shaming seriously, leading to a lack of trust.",1
363,The fear of speaking up about body shaming experiences for fear of retaliation or ridicule is causing silence among employees.,1
364,Instances of managers making disparaging remarks about employees' bodies are negatively impacting team morale.,1
365,The lack of consequences for individuals engaging in body shaming behaviors is perpetuating a culture of disrespect.,1
366,Employees feel unsupported in addressing body image insecurities or experiences of body shaming.,1
367,The absence of resources or support for individuals affected by body shaming is exacerbating feelings of isolation.,1
368,Instances where employees' contributions are overshadowed by comments about their appearance are negatively impacting motivation.,1
369,The fear of not being taken seriously or respected due to body appearance is hindering career advancement opportunities.,1
370,"Employees perceive that certain body types are stigmatized or marginalized within the organization, leading to feelings of alienation.",1
371,The lack of awareness about the impact of body shaming on mental health is contributing to a dismissive attitude toward the issue.,1
372,Instances of body shaming occurring in the workplace are causing discomfort and a sense of unwelcome among affected individuals.,1
373,"The office temperature is consistently too cold, making it difficult to concentrate.",0
374,"Despite multiple requests, the office temperature remains uncomfortably cold, affecting productivity.",0
375,"The air conditioning in the office is set too low, causing discomfort and distraction among employees.",0
376,Employees have been bringing extra layers of clothing to work due to the excessively cold office temperature.,0
377,"The office temperature fluctuates throughout the day, making it challenging to regulate comfort levels.",0
378,"Despite adjusting the thermostat, the office temperature remains too cold for comfort.",0
379,Several employees have expressed concerns about the chilly office temperature impacting their health.,0
380,The cold office temperature is causing discomfort and decreased morale among team members.,0
381,Employees are finding it hard to focus on work tasks due to the cold draft in the office.,0
382,The excessively cold office temperature is negatively affecting employee satisfaction and well-being.,0
383,"The office bathrooms are frequently dirty and unhygienic, causing discomfort among employees.",0
384,"There is a persistent issue with trash not being emptied regularly, leading to unpleasant odors in the office.",0
385,"Several areas of the office, including the kitchen and common areas, are visibly dirty and in need of cleaning.",0
386,"The office desks and workstations are covered in dust and debris, indicating infrequent cleaning.",0
387,"Employees have observed pests such as ants or cockroaches in the office, indicating poor cleanliness standards.",0
388,"The office carpets are stained and soiled, requiring professional cleaning to maintain hygiene.",0
389,The lack of hand sanitizers or disinfectant wipes in common areas is concerning given the current health climate.,0
390,"The office kitchen appliances, such as the microwave and refrigerator, are not regularly cleaned, posing health risks.",0
391,"The office restrooms often lack essential hygiene supplies such as soap or hand towels, compromising employee health.",0
392,"Employees have noticed mold or mildew growth in certain areas of the office, indicating poor ventilation and cleanliness practices.",0
393,"The office printers frequently jam, causing delays in printing important documents.",0
394,"Employees often experience slow internet speeds, hindering productivity and efficiency.",0
395,"The office Wi-Fi network frequently disconnects, disrupting work and causing frustration.",0
396,Several employees have reported issues with their computers freezing or crashing unexpectedly.,0
397,"The office phone system is unreliable, with dropped calls and poor call quality being common occurrences.",0
398,"Employees have difficulty accessing shared network drives, affecting collaboration and document sharing.",0
399,"The office laptops frequently experience software glitches or errors, impacting work tasks.",0
